Gemeinde,coordinatex,coordinatey,name,streetNumber,zip,region,telephone,fax,openingHours,markettype,uid
Appenzell,47.33464,9.409004,SPAR Supermarkt Appenzell,Unteres Ziel,9050,"{'isoCode': 'AI', 'localName': 'Appenzell Innerrhoden', 'nameEn': 'Appenzell Innerrhoden', 'uid': 105}",071 787 44 18,071 787 44 71,"[{'pretext': 'Montag', 'date': None, 'text': '08:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 101}, {'pretext': 'Dienstag', 'date': None, 'text': '08:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8813}, {'pretext': 'Mittwoch', 'date': None, 'text': '08:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8814}, {'pretext': 'Donnerstag', 'date': None, 'text': '08:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8815}, {'pretext': 'Freitag', 'date': None, 'text': '08:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 102}, {'pretext': 'Samstag', 'date': None, 'text': '08:00 - 16:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 103}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",15
Dietlikon,47.422981,8.618641,SPAR Supermarkt Dietlikon,Bahnhofstrasse 42,8305,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 833 32 70,044 833 79 46,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 109}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8816}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8817}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8818}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8819}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 110}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",16
Lenzerheide,46.725257,9.557588,SPAR Supermarkt Lenzerheide,Voa Nova 27,7078,"{'isoCode': 'GR', 'localName': 'Graubünden', 'nameEn': 'Graubünden', 'uid': 113}",081 385 19 10,081 385 19 18,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 117}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8820}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8821}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8822}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8823}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 118}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",17
Hünenberg See,47.173432,8.449276,SPAR Supermarkt Cham,Luzernerstrasse 101,6333,"{'isoCode': 'ZG', 'localName': 'Zug', 'nameEn': 'Zug', 'uid': 128}",041 780 04 70,041 780 04 64,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 137}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8824}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8825}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8826}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8827}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 138}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",18
Murg,47.112734,9.214148,SPAR Supermarkt Murg,Alte Staatsstrasse 22,8877,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",081 720 31 33,081 720 31 35,"[{'pretext': 'Montag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 143}, {'pretext': 'Dienstag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8828}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8829}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8830}, {'pretext': 'Freitag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8831}, {'pretext': 'Samstag', 'date': None, 'text': '06:30\xa0- 15:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 144}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",20
Savognin,46.594924,9.601278,SPAR Supermarkt Savognin,Stradung 54,7460,"{'isoCode': 'GR', 'localName': 'Graubünden', 'nameEn': 'Graubünden', 'uid': 113}",081 684 11 60,081 637 11 50,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 12:15 Uhr\r\n', 'posttext': '14:00 - 18:30 Uhr', 'group': '', 'uid': 149}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 12:15 Uhr', 'posttext': '14:00 - 18:30 Uhr', 'group': '', 'uid': 8832}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 12:15 Uhr', 'posttext': '14:00 - 18:30 Uhr', 'group': '', 'uid': 8833}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 12:15 Uhr', 'posttext': '14:00 - 18:30 Uhr', 'group': '', 'uid': 8834}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 12:15 Uhr', 'posttext': '14:00 - 18:30 Uhr', 'group': '', 'uid': 8835}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 16:00 Uhr', 'posttext': 'Durchgehend geöffnet', 'group': '', 'uid': 150}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",21
Engelburg,47.441901,9.348834,SPAR Supermarkt Engelburg,Breitschachenstrasse 8,9032,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",071 260 18 48,071 260 18 69,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 12:30 Uhr', 'posttext': '13:30 - 19:00 Uhr', 'group': '', 'uid': 168}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 12:30 Uhr', 'posttext': '13:30 - 19:00 Uhr', 'group': '', 'uid': 8836}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 12:30 Uhr', 'posttext': '13:30 - 19:00 Uhr', 'group': '', 'uid': 8837}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 12:30 Uhr', 'posttext': '13:30 - 19:00 Uhr', 'group': '', 'uid': 8838}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 12:30 Uhr', 'posttext': '13:30 - 19:00 Uhr', 'group': '', 'uid': 8839}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 169}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",22
Abtwil,47.424161,9.322873,SPAR Supermarkt Abtwil,Auwiesenstrasse,9030,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",071 311 47 22,071 311 54 27,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 181}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8840}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8841}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8842}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8843}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 182}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",24
Spreitenbach,47.425405,8.361983,SPAR Supermarkt Spreitenbach,Bahnhofstrasse 82,8957,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",056 401 25 73,056 401 25 28,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 190}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8844}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8845}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8846}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8847}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 191}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",26
Dübendorf,47.389641,8.617294,SPAR Supermarkt Dübendorf,Untere Geerenstrasse 1,8600,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 821 50 10,044 821 50 03,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 195}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8848}, {'pretext': 'Mittvoch', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8849}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8850}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8851}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 196}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",27
Urdorf,47.381319,8.424234,SPAR Supermarkt Urdorf,Bachstrasse 11,8902,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 734 23 71,044 734 55 14,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 200}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8852}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8853}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8854}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8855}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 \xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 201}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",28
Weiningen,47.419928,8.434778,SPAR Supermarkt Weiningen,Regensdorferstrasse 2,8104,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 7500220,044 7503511,[],"{'marketType': 'SPAR Supermarkt', 'uid': 1}",29
Flurlingen,47.684494,8.627409,SPAR Supermarkt Flurlingen,Gründenstrasse 5,8247,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",052 654 07 67,052 654 07 68,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 215}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8860}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8861}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8862}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8863}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 217}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",31
