xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00242786,ch:1:sloid:90512::81,,81,,,20210720,,20220508,ch14uvag00044386,2673866,1250119,390.6
ch14uvag00228909,ch:1:sloid:92699:0:484216,,chne02,25.00,16.00,20200106,,20220508,ch14uvag00042934,2503622.409,1117001.209,420.5
ch14uvag00243570,ch:1:sloid:91603::400102,B,4,,,20211212,,20220508,ch14uvag00052216,2717299,1096059,274.2
ch14uvag00243562,ch:1:sloid:80081::526904,,4,,,20211212,,20220508,ch14uvag00062227,2723716,1077666,237.1
ch14uvag00243581,ch:1:sloid:88977::401502,,2,,,20211212,,20220508,ch14uvag00052235,2717867,1096053,276
ch14uvag00243922,ch:1:sloid:91530::341501,,1,,,20211212,,20220508,ch14uvag00039402,2703575,1112926,206.8
ch14uvag00231419,ch:1:sloid:87992::50,,50,,,20220207,,20220508,ch14uvag00048580,2689000,1238018,466.1
ch14uvag00247603,ch:1:sloid:77538:0:1,,1,,,20220301,,20220508,ch14uvag00061925,2687039,1221380,725
ch14uvag00240878,ch:1:sloid:76918::769184,,769184,,,20210101,,20220508,ch14uvag00048616,2620247,1226424,471.9
ch14uvag00235840,ch:1:sloid:73557::50,,50,,,20220207,,20220508,ch14uvag00048858,2687846,1233736,539.3
ch14uvag00240846,ch:1:sloid:76427::764271,,764271,,,20210101,,20220508,ch14uvag00060811,2590226,1217833,434.1
ch14uvag00241771,ch:1:sloid:78717:0:02,,2,,,20210504,,20220508,ch14uvag00044696,2655140,1240913,602.8
ch14uvag00228741,ch:1:sloid:92761:0:673180,,foan01,15.00,17.00,20200106,,20220508,ch14uvag00039106,2507059.452,1125194.245,427.7
ch14uvag00231833,ch:1:sloid:73568::51,,51,,,20220207,,20220508,ch14uvag00059100,2691763,1228066,672
ch14uvag00231919,ch:1:sloid:92899:0:284771,,giac00,24.00,15.00,20200106,,20220508,ch14uvag00047508,2498232.406,1120395.141,446.1
ch14uvag00245011,ch:1:sloid:79199:0:1,,1,10.00,13.00,20211212,,20220508,ch14uvag00043441,2558320.84111,1143853.26194,413
ch14uvag00236373,ch:1:sloid:91368::0,,0,,,20220207,,20220508,ch14uvag00065313,2682975,1248239,407.2
ch14uvag00235450,ch:1:sloid:90318::1,,1,,,20220207,,20220508,ch14uvag00065059,2678556,1249396,399.3
ch14uvag00234019,ch:1:sloid:90095:0:2,,2,,,20190722,,20220508,ch14uvag00050100,2596621.364,1196661.606,618.7
ch14uvag00232959,ch:1:sloid:91442::51,,51,,,20220207,,20220508,ch14uvag00065391,2685541,1248437,608.3
ch14uvag00237730,ch:1:sloid:1338:0:53144,,1,,,20210211,,20220508,ch14uvag00048781,2637226,1105512,1834.8
ch14uvag00241536,ch:1:sloid:87841:0:01,,1,,,20210401,,20220508,ch14uvag00041036,2585554,1221026,434.1
ch14uvag00226098,ch:1:sloid:3267::51,,51,,,20220207,,20220508,ch14uvag00040833,2699714,1241897,502.4
ch14uvag00230625,ch:1:sloid:76558:1:2,,17,,,19980101,,20220508,ch14uvag00061293,2614402.209,1178798.195,558.2
ch14uvag00232275,ch:1:sloid:3855::50,C,50,,,20220207,,20220508,ch14uvag00048849,2687621,1235163,408.7
ch14uvag00235480,ch:1:sloid:76577:1:2,,11,,,20021215,,20220508,ch14uvag00060615,2614715.211,1181861.667,646.3
ch14uvag00226970,ch:1:sloid:75921::51,,51,,,20220207,,20220508,ch14uvag00044836,2695113,1253597,523.7
ch14uvag00233083,ch:1:sloid:91276::3,,3,,,20220207,,20220508,ch14uvag00065220,2683376,1250386,476.1
ch14uvag00229897,ch:1:sloid:88946:2:4,,4,,,20200703,,20220508,ch14uvag00040117,2612563.084,1265116.896,284.3
ch14uvag00225548,ch:1:sloid:90879::50,,50,,,20220207,,20220508,ch14uvag00063188,2687231,1244472,586.4
ch14uvag00226132,ch:1:sloid:90670::51,,51,,,20220207,,20220508,ch14uvag00049651,2683335,1241572,512.9
ch14uvag00233703,ch:1:sloid:91354::50,,50,,,20220207,,20220508,ch14uvag00065300,2683862,1252947,431.7
ch14uvag00239078,ch:1:sloid:77168::2,,2,,,20210201,,20220508,ch14uvag00049279,2668924.989,1219398.12829,422.4
ch14uvag00232660,ch:1:sloid:91429::81,,81,,,20210720,,20220508,ch14uvag00065375,2685359,1246074,450.1
ch14uvag00235268,ch:1:sloid:91439::81,,81,,,20210720,,20220508,ch14uvag00065386,2682528,1243593,451.9
ch14uvag00235270,ch:1:sloid:91439::84,,84,,,20210720,,20220508,ch14uvag00065386,2682564,1243615,451.9
ch14uvag00232707,ch:1:sloid:91049::2,,2,,,20220207,,20220508,ch14uvag00064993,2685307,1252423,426.6
ch14uvag00233339,ch:1:sloid:3610::51,,51,,,20220207,,20220508,ch14uvag00065347,2679814,1246890,451.4
ch14uvag00227196,ch:1:sloid:90791::0,,0,,,20220207,,20220508,ch14uvag00058809,2677146,1250144,394.8
ch14uvag00233002,ch:1:sloid:91236::1,,1,,,20220207,,20220508,ch14uvag00065177,2680693,1247977,411.4
ch14uvag00232708,ch:1:sloid:91049::20,,20,,,20220207,,20220508,ch14uvag00064993,2685302,1252339,428.3
ch14uvag00237300,ch:1:sloid:7456:0:126806,,5,,,20210211,,20220508,ch14uvag00041223,2632066,1156819,2674.7
ch14uvag00235808,ch:1:sloid:92804:0:601267,,cirq01,52.00,25.00,20200106,,20220508,ch14uvag00046783,2499807.503,1117415.168,375.1
ch14uvag00227620,ch:1:sloid:78292:1:2,,2,,,20200703,,20220508,ch14uvag00061383,2629438.407,1256225.329,391.4
ch14uvag00227618,ch:1:sloid:78290:1:1,,1,,,20200703,,20220508,ch14uvag00061384,2629164.407,1256546.359,391.5
ch14uvag00230734,ch:1:sloid:89380:1:1,,1,,,20200703,,20220508,ch14uvag00040185,2612952.322,1266008.473,276
ch14uvag00241357,ch:1:sloid:76897::768972,,768972,,,20210101,,20220508,ch14uvag00063713,2615673,1233062,448.2
ch14uvag00249379,ch:1:sloid:87959:0:01,,106501,18.00,10.00,20220329,,20220508,ch14uvag00060693,2689312.87443,1211589.61392,472.3
ch14uvag00249378,ch:1:sloid:87959:0:02,,106502,12.00,0.00,20220329,,20220508,ch14uvag00060693,2689295.39945,1211589.35216,471
ch14uvag00232272,ch:1:sloid:3855::53,E,53,,,20220207,,20220508,ch14uvag00048849,2687586,1235159,408.9
ch14uvag00235898,ch:1:sloid:92953:0:992957,,trti02,25.00,13.00,20200106,,20220508,ch14uvag00047524,2498564.425,1122251.217,411.5
ch14uvag00228946,ch:1:sloid:92709:0:442857,,peil00,52.00,24.00,20200106,,20220508,ch14uvag00042946,2504114.399,1116594.225,420.8
ch14uvag00232993,ch:1:sloid:91243::21,,21,,,20220207,,20220508,ch14uvag00065186,2680155,1247543,417.5
ch14uvag00235926,ch:1:sloid:90985::53,,53,,,20220207,,20220508,ch14uvag00064079,2699999,1260353,465.4
ch14uvag00231664,ch:1:sloid:92918:0:102210,,vlrs00,25.00,10.00,20200106,,20220508,ch14uvag00046905,2501849.462,1116122.233,420.7
ch14uvag00245549,ch:1:sloid:3096:0:487218,3,3,,,20211212,,20220508,ch14uvag00038546,2682069.77521,1240725.96552,451.9
ch14uvag00241596,ch:1:sloid:93340:0:02,,2,,,20210401,,20220508,ch14uvag00041102,2584732,1220952,494.5
ch14uvag00245565,ch:1:sloid:3054:0:137935,1,441,,,20211212,,20220508,ch14uvag00064957,2679799.88823,1246551.3787,480.8
ch14uvag00243533,ch:1:sloid:80061::500502,,2,,,20211212,,20220508,ch14uvag00053217,2720035,1080742,355.2
ch14uvag00245561,ch:1:sloid:3087:0:555217,2,203,,,20211212,,20220508,ch14uvag00064945,2681837.68286,1245777.39582,415.4
ch14uvag00245563,ch:1:sloid:3090:0:732675,1,101,,,20211212,,20220508,ch14uvag00064950,2682558.33894,1247396.90817,406.3
ch14uvag00233335,ch:1:sloid:3610::10,,10,,,20220207,,20220508,ch14uvag00065347,2679841,1246896,450.6
ch14uvag00238268,ch:1:sloid:89832::1,C,1,,,20210201,,20220508,ch14uvag00052490,2668746.14097,1212086.58868,466.3
ch14uvag00241394,ch:1:sloid:76424::764241,,764241,,,20210101,,20220508,ch14uvag00060812,2589476,1218278,434.2
ch14uvag00246993,ch:1:sloid:87263:0:2,,2,,,20220301,,20220508,ch14uvag00064755,2682022,1223659,500
ch14uvag00246995,ch:1:sloid:87280:0:2,,2,,,20220301,,20220508,ch14uvag00064761,2682515,1226321,432
ch14uvag00246980,ch:1:sloid:93453:0:1,,1,,,20220301,,20220508,ch14uvag00064748,2681756,1222980,497
ch14uvag00226512,ch:1:sloid:75939::51,,51,,,20220207,,20220508,ch14uvag00051993,2693443,1255119,521.9
ch14uvag00234996,ch:1:sloid:91174::1,,1,,,20220207,,20220508,ch14uvag00065113,2683573,1248145,433.9
ch14uvag00227063,ch:1:sloid:76135::50,,50,,,20220207,,20220508,ch14uvag00044837,2694562,1252998,516.8
ch14uvag00233457,ch:1:sloid:76263::50,,50,,,20220207,,20220508,ch14uvag00065140,2680180,1252778,460.5
ch14uvag00234477,ch:1:sloid:87654::50,,50,,,20220207,,20220508,ch14uvag00047160,2685190,1254331,426.2
ch14uvag00229533,ch:1:sloid:3184::52,,52,,,20220207,,20220508,ch14uvag00055439,2697028,1236261,541.8
ch14uvag00234289,ch:1:sloid:79968::50,,50,,,20220207,,20220508,ch14uvag00049829,2686383,1258257,507.2
ch14uvag00229166,ch:1:sloid:90878::54,,54,,,20220207,,20220508,ch14uvag00056764,2678010,1254504,441.2
ch14uvag00235886,ch:1:sloid:3247:0:63960,,cbga01,,,20200106,,20220508,ch14uvag00221644,2500444.486,1122101.133,394.5
ch14uvag00231164,ch:1:sloid:90646::51,,51,,,20220207,,20220508,ch14uvag00048603,2690171,1238889,615.7
ch14uvag00226297,ch:1:sloid:87970::50,,50,,,20220207,,20220508,ch14uvag00045365,2688417,1240227,576.2
ch14uvag00231165,ch:1:sloid:90646::50,,50,,,20220207,,20220508,ch14uvag00048603,2690168,1238894,616.2
ch14uvag00228262,ch:1:sloid:7884:1:2,,12,,,19930201,,20220508,ch14uvag00058910,2622196.266,1176596.049,1079
ch14uvag00229266,ch:1:sloid:90514::51,,51,,,20220207,,20220508,ch14uvag00044389,2672930,1251523,384.8
ch14uvag00230498,ch:1:sloid:75970::50,,50,,,20220207,,20220508,ch14uvag00045733,2702045,1233034,419.4
ch14uvag00231695,ch:1:sloid:7180:8:41,X,40,,,20030124,,20220508,ch14uvag00061264,2614504.861,1178064.336,559
ch14uvag00231995,ch:1:sloid:77725:0:15894,15,15,18.00,16.00,20201213,,20220508,ch14uvag00042171,2570513,1163057,771
ch14uvag00226777,ch:1:sloid:78282:1:1,,1,,,20200703,,20220508,ch14uvag00061116,2628036.42,1254089.357,421.8
ch14uvag00230084,ch:1:sloid:3866::51,,51,,,20220207,,20220508,ch14uvag00063098,2691454,1232469,525.6
ch14uvag00237180,ch:1:sloid:94846::1,,1,,,20210201,,20220508,ch14uvag00054870,2653063.62802,1220342.63667,549.6
ch14uvag00242896,ch:1:sloid:7226::413802,,2,,,20211212,,20220508,ch14uvag00225370,2718031,1097838,294.6
ch14uvag00226183,ch:1:sloid:88021::51,,51,,,20220207,,20220508,ch14uvag00053066,2692379,1235803,428.1
ch14uvag00237144,ch:1:sloid:77383::1,,1,,,20210201,,20220508,ch14uvag00058670,2692098.79103,1190012.09975,452
ch14uvag00229490,ch:1:sloid:73692::10,,10,,,20220207,,20220508,ch14uvag00063995,2696782,1262822,440.7
ch14uvag00244695,ch:1:sloid:74398:0:01,,1,,,20211212,,20220508,ch14uvag00223785,2758345,1218898,466
ch14uvag00244703,ch:1:sloid:9699:0:02,,2,,,20211212,,20220508,ch14uvag00223910,2764643,1219192,1598
ch14uvag00244708,ch:1:sloid:81093:0:01,,1,,,20211212,,20220508,ch14uvag00223827,2759552,1221752,1027
ch14uvag00244707,ch:1:sloid:79674:0:01,,1,,,20211212,,20220508,ch14uvag00223823,2759431,1221916,1004
ch14uvag00239089,ch:1:sloid:30412:0:889364,,1,,,20210211,,20220508,ch14uvag00053897,2692003,1213648,1181.5
ch14uvag00244824,ch:1:sloid:93953:0:1,,1,10.00,13.00,20211212,,20220508,ch14uvag00050547,2555901.13126,1145437.87773,417.9
ch14uvag00241867,ch:1:sloid:2675:0:01,,1,,,20210504,,20220508,ch14uvag00059345,2654524,1245063,447.9
ch14uvag00228202,ch:1:sloid:76798:1:4,,14,,,19990101,,20220508,ch14uvag00050208,2607387.826,1178143.099,658.9
ch14uvag00233439,ch:1:sloid:91123::88,,88,,,20210720,,20220508,ch14uvag00065057,2683823,1247903,454.1
ch14uvag00232729,ch:1:sloid:94317:1:1,,12,,,20100825,,20220508,ch14uvag00047809,2644303.53,1164545.953,1105.7
ch14uvag00227811,ch:1:sloid:70:1:1,,1,,,20200703,,20220508,ch14uvag00057335,2601571.415,1258947.333,391.5
ch14uvag00243287,ch:1:sloid:80059::526001,,1,,,20211212,,20220508,ch14uvag00053223,2719822,1081140,328.9
ch14uvag00226878,ch:1:sloid:78295:1:1,,1,,,20200703,,20220508,ch14uvag00064165,2630861.425,1253578.348,442
ch14uvag00234972,ch:1:sloid:76607:1:1,,11,,,20161211,,20220508,ch14uvag00061921,2616126.947,1181574.676,684.6
ch14uvag00235684,ch:1:sloid:90084:0:1,,1,,,20190722,,20220508,ch14uvag00040737,2596320.635,1198273.346,562.6
ch14uvag00247609,ch:1:sloid:3714:0:1,,1,,,20220301,,20220508,ch14uvag00058370,2690745,1216237,752
ch14uvag00243513,ch:1:sloid:73676::50,,50,,,20220207,,20220508,ch14uvag00054434,2692752,1264215,424
ch14uvag00234501,ch:1:sloid:91085::20,,20,,,20220207,,20220508,ch14uvag00065017,2683574,1253509,442.4
ch14uvag00225822,ch:1:sloid:8717:0:1,,1,,,20190101,,20220508,ch14uvag00051988,2604130.338,1217458.303,472.925
ch14uvag00238108,ch:1:sloid:92618:0:730017,,1,,,20210211,,20220508,ch14uvag00043504,2560404,1142012,459
ch14uvag00238100,ch:1:sloid:88145::2,,2,,,20210201,,20220508,ch14uvag00064282,2647996.12048,1213063.2101,639.3
ch14uvag00225967,ch:1:sloid:75983::50,,50,,,20220207,,20220508,ch14uvag00049593,2705463,1242680,642.7
ch14uvag00225765,ch:1:sloid:3366::50,,50,,,20220207,,20220508,ch14uvag00063609,2708008,1239683,722.6
ch14uvag00225593,ch:1:sloid:76001::51,,51,,,20220207,,20220508,ch14uvag00063665,2702124,1242881,537.9
ch14uvag00225958,ch:1:sloid:3179::51,,51,,,20220207,,20220508,ch14uvag00063680,2702714,1242147,532.2
ch14uvag00225981,ch:1:sloid:76092::50,,50,,,20220207,,20220508,ch14uvag00063674,2702799,1242429,536.6
ch14uvag00235396,ch:1:sloid:80536::80,,80,,,20210720,,20220508,ch14uvag00055582,2685635,1253955,432.9
ch14uvag00229255,ch:1:sloid:90552::52,,52,,,20220207,,20220508,ch14uvag00044628,2688325,1250125,435.3
ch14uvag00226991,ch:1:sloid:90911::51,,51,,,20220207,,20220508,ch14uvag00063540,2675482,1252378,410.6
ch14uvag00234473,ch:1:sloid:78935:0:1,,1,,,20200703,,20220508,ch14uvag00054307,2610104.527,1191169.549,566.3
ch14uvag00228561,ch:1:sloid:88475:1:2,,13,,,20020829,,20220508,ch14uvag00055281,2609044.847,1173912.136,682.8
ch14uvag00228526,ch:1:sloid:76841:1:1,,12,,,19990101,,20220508,ch14uvag00054786,2610733.001,1172811.791,632.8
ch14uvag00243228,ch:1:sloid:91798::414402,,2,,,20211212,,20220508,ch14uvag00052240,2717434,1096827,281.9
ch14uvag00243224,ch:1:sloid:88973::401302,,2,,,20211212,,20220508,ch14uvag00052208,2717420,1096317,277
ch14uvag00229418,ch:1:sloid:90929::11,,11,,,20220207,,20220508,ch14uvag00064006,2696326,1261577,437.7
ch14uvag00243606,ch:1:sloid:90301:0:01,,1,,,20200507,,20220508,ch14uvag00063627,2667557.955,1257809.007,410.5
ch14uvag00240635,ch:1:sloid:5172:0:53349,1,1,126.00,0.00,20210308,,20220508,ch14uvag00055013,2694286.7082,1168399.67511,2033.2
ch14uvag00243811,ch:1:sloid:80113::482701,,1,,,20211212,,20220508,ch14uvag00059799,2715966,1095896,360
ch14uvag00247750,ch:1:sloid:77539:0:2,,2,,,20220301,,20220508,ch14uvag00054997,2688644,1221258,728
ch14uvag00241199,ch:1:sloid:76719::767191,,767191,,,20210101,,20220508,ch14uvag00058145,2591263,1222117,435.8
ch14uvag00245328,ch:1:sloid:93962:0:2,,2,15.00,22.00,20211212,,20220508,ch14uvag00050542,2556827.35249,1144582.83246,415.8
ch14uvag00233026,ch:1:sloid:5095:0:,B,B,,,20201221,,20220508,ch14uvag00059046,2692193,1208507,512
ch14uvag00233047,ch:1:sloid:76529:1:2,,11,,,20131215,,20220508,ch14uvag00047802,2645121.472,1163082.932,967.3
ch14uvag00234226,ch:1:sloid:76512:1:2,,11,,,19930201,,20220508,ch14uvag00047779,2646523.431,1163939.317,1056.9
ch14uvag00242661,ch:1:sloid:78919::315502,,1,,,20211212,,20220508,ch14uvag00041859,2698372,1108384,216.2
ch14uvag00238090,ch:1:sloid:89685::1,,1,,,20210201,,20220508,ch14uvag00048927,2668206.46103,1208305.54553,454.5
ch14uvag00237310,ch:1:sloid:30337:0:191787,,1,,,20210211,,20220508,ch14uvag00060867,2634422,1163672,1520.2
ch14uvag00231678,ch:1:sloid:71708:1:6,,12,,,20081214,,20220508,ch14uvag00061265,2614591.903,1178966.259,566.3
ch14uvag00228732,ch:1:sloid:92727:0:83517,,rsma01,25.00,13.00,20200106,,20220508,ch14uvag00043510,2505037.393,1123515.225,404.4
ch14uvag00243617,ch:1:sloid:91064::81,,81,,,20210720,,20220508,ch14uvag00064951,2682473,1247316,412.7
ch14uvag00237758,ch:1:sloid:30802:0:201188,,1,,,20210211,,20220508,ch14uvag00040890,2648340,1137982,1951.7
ch14uvag00229235,ch:1:sloid:75999::51,,51,,,20220207,,20220508,ch14uvag00063676,2703384,1242671,548.1
ch14uvag00225596,ch:1:sloid:95331::51,,51,,,20220207,,20220508,ch14uvag00063673,2701792,1242930,540.8
ch14uvag00226348,ch:1:sloid:90220::50,,50,,,20220207,,20220508,ch14uvag00044398,2672133,1250238,407.3
ch14uvag00226156,ch:1:sloid:90533::52,,52,,,20220207,,20220508,ch14uvag00044415,2671970,1250740,401.5
ch14uvag00234180,ch:1:sloid:7564:1:1,,10,,,19930201,,20220508,ch14uvag00047814,2649212.792,1165804.684,1433.9
ch14uvag00235908,ch:1:sloid:93152:0:146573,,chla01,36.00,13.00,20200106,,20220508,ch14uvag00062474,2497678.346,1118611.209,424.6
ch14uvag00238020,ch:1:sloid:31439:0:512311,,1,,,20210211,,20220508,ch14uvag00220453,2607422,1160992,1415.5
ch14uvag00228501,ch:1:sloid:7173:1:2,,15,,,20031214,,20220508,ch14uvag00048639,2616787.887,1176037.841,565.5
ch14uvag00228768,ch:1:sloid:92774:0:667885,,acac00,40.00,25.00,20200106,,20220508,ch14uvag00046754,2499600.484,1116511.182,376.2
ch14uvag00228758,ch:1:sloid:87065:0:745942,,gebe00,20.00,14.00,20200106,,20220508,ch14uvag00046926,2500865.442,1123657.209,387.7
ch14uvag00235482,ch:1:sloid:76582:1:6,,14,,,20000528,,20220508,ch14uvag00060623,2614694.33,1180019.249,577
ch14uvag00239021,ch:1:sloid:89851::2,,2,,,20210201,,20220508,ch14uvag00052518,2665427.39247,1211231.3249,440.3
ch14uvag00240927,ch:1:sloid:76963::769630,,769630,,,20210101,,20220508,ch14uvag00047597,2617440,1221217,514.7
ch14uvag00234205,ch:1:sloid:95514:0:1,,1,,,20190101,,20220508,ch14uvag00049359,2602644.212,1202507.919,538.958
ch14uvag00234215,ch:1:sloid:94322:1:2,,11,,,20100825,,20220508,ch14uvag00047791,2645377.762,1165503.683,1620.6
ch14uvag00240897,ch:1:sloid:88149:0:01,,1,,,20210401,,20220508,ch14uvag00041087,2584595,1220574,432.6
ch14uvag00247775,ch:1:sloid:93439:0:1,,1,,,20220301,,20220508,ch14uvag00055321,2681202,1222030,440
ch14uvag00241123,ch:1:sloid:93316:0:02,,2,,,20210401,,20220508,ch14uvag00041022,2584771,1220899,474.3
ch14uvag00240579,ch:1:sloid:79516:0:861466,,VBFA_1,,,20210222,,20220508,ch14uvag00051772,2596573.67874,1117727.9295,1023.8
ch14uvag00234546,ch:1:sloid:76076::50,,50,,,20220207,,20220508,ch14uvag00057967,2706328,1234475,466.1
ch14uvag00236416,ch:1:sloid:92855:0:507412,,merv01,,,20200106,,20220508,ch14uvag00046838,2498484.428,1119530.155,436.1
ch14uvag00241458,ch:1:sloid:6174:0:1,1,1,,,20210401,,20220508,ch14uvag00052963,2712536.78875,1264374.65719,447.2
ch14uvag00234773,ch:1:sloid:90699::1,,1,,,20220207,,20220508,ch14uvag00049852,2686186,1256280,435.2
ch14uvag00243901,ch:1:sloid:90525::0,,0,,,20220207,,20220508,ch14uvag00044406,2673398,1250376,389.2
ch14uvag00225667,ch:1:sloid:90549::51,,51,,,20220207,,20220508,ch14uvag00044625,2690272,1250033,438.7
ch14uvag00245466,ch:1:sloid:79158:0:2,,2,,12.00,20211212,,20220508,ch14uvag00043696,2553195.2042,1146871.89696,441.4
ch14uvag00236280,ch:1:sloid:90400:1:1,,10,,,20170712,,20220508,ch14uvag00048640,2616809.815,1176545.047,614.2
ch14uvag00231852,ch:1:sloid:87229:1:2,,10,,,20021215,,20220508,ch14uvag00056942,2613958.19,1171385.623,620.7
ch14uvag00230518,ch:1:sloid:88734::51,,51,,,20220207,,20220508,ch14uvag00052627,2694788,1235143,477.6
ch14uvag00234879,ch:1:sloid:91294::83,,83,,,20210720,,20220508,ch14uvag00065238,2684185,1252486,426.5
ch14uvag00242117,ch:1:sloid:89502::528501,,1,,,20211212,,20220508,ch14uvag00053769,2722946,1078186,277.6
ch14uvag00246413,ch:1:sloid:91913:1:8,,21,,,20220202,,20220508,ch14uvag00061284,2614450.66347,1178053.94355,558.9
ch14uvag00231156,ch:1:sloid:76117::51,,51,,,20220207,,20220508,ch14uvag00057035,2694471,1228796,576.3
ch14uvag00238361,ch:1:sloid:89807::2,C,2,,,20210201,,20220508,ch14uvag00052463,2664694.71997,1211816.02969,439.8
ch14uvag00238558,ch:1:sloid:89796::4,,4,,,20210201,,20220508,ch14uvag00052449,2665550.67536,1211194.5663,437.2
ch14uvag00242855,ch:1:sloid:91587::410801,,1,,,20211212,,20220508,ch14uvag00041624,2720620,1096678,787.4
ch14uvag00239377,ch:1:sloid:30085:0:319888,,1,,,20210211,,20220508,ch14uvag00043046,2570683,1110817,1124.1
ch14uvag00228557,ch:1:sloid:76839:1:4,,10,,,20101212,,20220508,ch14uvag00055283,2609460.7,1173712.16,670.8
ch14uvag00237522,ch:1:sloid:30236:0:673339,,1,,,20210211,,20220508,ch14uvag00045332,2641643,1134972,1667.6
ch14uvag00226412,ch:1:sloid:87991::51,,51,,,20220207,,20220508,ch14uvag00055745,2702996,1238102,526
ch14uvag00248275,ch:1:sloid:88961:0:452003,,8896102,20.00,12.00,20220301,,20220508,ch14uvag00038450,2741571,1253889,644
ch14uvag00230389,ch:1:sloid:3364::51,,51,,,20220207,,20220508,ch14uvag00054154,2696949,1241309,444.8
ch14uvag00234840,ch:1:sloid:80449::50,,50,,,20220207,,20220508,ch14uvag00064936,2683538,1251818,441
ch14uvag00232901,ch:1:sloid:91447::80,,80,,,20201213,,20220508,ch14uvag00065395,2681353,1247293,416.1
ch14uvag00242463,ch:1:sloid:30790::48301,,1,,,20211212,,20220508,ch14uvag00059797,2715800,1095020,349.5
ch14uvag00231666,ch:1:sloid:91913:1:3,,13,,,20090513,,20220508,ch14uvag00061284,2614456.252,1178012.903,559
ch14uvag00240576,ch:1:sloid:79517:0:167313,,VBFH_2,,,20210222,,20220508,ch14uvag00062594,2597019.53321,1116505.10151,1118.8
ch14uvag00227706,ch:1:sloid:78214:1:2,,2,,,20200703,,20220508,ch14uvag00061226,2609594.419,1260592.343,317.2
ch14uvag00239374,ch:1:sloid:77375::4,D,D,,,20210201,,20220508,ch14uvag00038899,2691323.11315,1193113.21164,447.1
ch14uvag00235178,ch:1:sloid:91437::83,,83,,,20210720,,20220508,ch14uvag00065384,2681908,1249569,402.5
ch14uvag00229933,ch:1:sloid:90874::50,,50,,,20220207,,20220508,ch14uvag00063094,2693191,1231004,491.9
ch14uvag00233976,ch:1:sloid:87955::51,,51,,,20220207,,20220508,ch14uvag00063182,2711458,1240928,763.7
ch14uvag00231245,ch:1:sloid:90487::50,,50,,,20220207,,20220508,ch14uvag00038584,2691910,1242865,630
ch14uvag00226567,ch:1:sloid:90612::50,,50,,,20220207,,20220508,ch14uvag00045615,2690441,1247515,453.5
ch14uvag00229631,ch:1:sloid:92719:0:712114,,roue02,,,20200106,,20220508,ch14uvag00043286,2505469.41,1120639.211,460.9
ch14uvag00247057,ch:1:sloid:87378:0:2,,2,,,20220301,,20220508,ch14uvag00060723,2679218,1227840,427
ch14uvag00247030,ch:1:sloid:77575:0:1,,1,18.00,22.00,20220301,,20220508,ch14uvag00064779,2681217,1225161,417
ch14uvag00229513,ch:1:sloid:91021::10,,10,,,20220207,,20220508,ch14uvag00064074,2699343,1263915,466.3
ch14uvag00228194,ch:1:sloid:76805:1:2,,10,,,20010610,,20220508,ch14uvag00061798,2607991.192,1177060.692,682.5
ch14uvag00233205,ch:1:sloid:5098:0:4568,B,B,,,20201221,,20220508,ch14uvag00041950,2689106,1206068,438
ch14uvag00242441,ch:1:sloid:7077:0:912842,2,2,190.29,55.00,20210817,,20220508,ch14uvag00049579,2602534.3931,1195302.92256,570.5
ch14uvag00242436,ch:1:sloid:7293:0:708621,1,1,188.21,55.00,20210817,,20220508,ch14uvag00055332,2599770.09857,1167210.41645,836.9
ch14uvag00235256,ch:1:sloid:90042:0:15,,15,,,20190722,,20220508,ch14uvag00040718,2598175.396,1199234.56,540.8
ch14uvag00233922,ch:1:sloid:91335::80,,80,,,20210720,,20220508,ch14uvag00065281,2683073,1249570,458.2
ch14uvag00245187,ch:1:sloid:93759:0:1,,1,12.00,0.00,20211212,,20220508,ch14uvag00061069,2556143.31628,1152522.53092,745.3
ch14uvag00242850,ch:1:sloid:91795::406201,,1,,,20211212,,20220508,ch14uvag00041664,2715414,1096133,431
ch14uvag00234323,ch:1:sloid:78176:1:1,,1,,,20200703,,20220508,ch14uvag00041550,2610139.41,1264094.34,290.1
ch14uvag00230742,ch:1:sloid:88942:1:1,,1,,,20200703,,20220508,ch14uvag00040043,2613487.419,1266473.355,269.7
ch14uvag00239363,ch:1:sloid:31280:0:410634,,1,,,20210211,,20220508,ch14uvag00220508,2597972,1128669,1687.7
ch14uvag00234554,ch:1:sloid:78954:0:2,,2,,,20200703,,20220508,ch14uvag00054315,2608794.417,1192083.631,526.6
ch14uvag00234558,ch:1:sloid:78973:0:2,,2,,,20200703,,20220508,ch14uvag00054303,2608908.495,1190879.555,523.5
ch14uvag00229754,ch:1:sloid:89013:0:1,,1,,,20190101,,20220508,ch14uvag00041434,2604332.373,1202848.225,587.963
ch14uvag00229099,ch:1:sloid:95080::51,,51,,,20220207,,20220508,ch14uvag00044441,2688695,1253081,461.1
ch14uvag00237732,ch:1:sloid:1647:0:625381,,2,,,20210211,,20220508,ch14uvag00058097,2637715,1105790,1797.9
ch14uvag00232499,ch:1:sloid:89037:0:1,,1,,,20190101,,20220508,ch14uvag00054047,2604904.989,1197157.062,563.964
